id,category
82445,Music
82615,Books
82657,Data Source
82657,Economics
82657,Education
82658,Education
82661,Books
82663,Film
82665,Current Affairs
82665,Economics
82665,Music
82665,Political Science
82665,The Arts
82665,Travel
82665,Web/Tech
82666,Current Affairs
82666,Games
82666,Political Science
82668,Weblogs
82670,Economics
82672,Film
82674,Books
82674,History
82675,Education
82675,Food and Drink
82677,Science
82678,Current Affairs
82678,Law
82678,Political Science
82680,Television
82680,The Arts
82680,Web/Tech
82681,Education
82682,History
82682,Science
82684,Current Affairs
82686,Data Source
82686,Economics
82686,Education
82688,Current Affairs
82688,Economics
82688,Political Science
82689,Web/Tech
82689,Weblogs
82690,Current Affairs
82690,Economics
82690,Education
82692,Law
82692,Medicine
82692,Sports
82695,Education
82695,Science
82696,Education
82699,Economics
82700,Current Affairs
82700,Economics
82701,Books
82701,Economics
82702,Current Affairs
82702,Economics
82704,History
82704,Music
82706,Food and Drink
82706,Medicine
82707,Philosophy
82707,Political Science
82708,Economics
82708,Web/Tech
82709,Medicine
82709,Political Science
82710,Games
82712,Data Source
82712,Political Science
82713,Education
82713,Science
82716,Economics
82718,Current Affairs
82718,Education
82720,Music
82721,Current Affairs
82721,Political Science
82722,Law
82722,Sports
82725,Current Affairs
82725,Law
82725,Medicine
82728,Current Affairs
82728,Economics
82728,Philosophy
82728,Political Science
82728,Travel
82728,Web/Tech
82730,Data Source
82730,Political Science
82733,Economics
82733,Education
82733,Political Science
82735,Philosophy
82735,Political Science
82736,Education
82736,Music
82740,Data Source
82740,Games
82742,Education
82743,Books
82743,Economics
82743,Web/Tech
82746,Current Affairs
82747,Economics
82747,Web/Tech
82748,Economics
82748,Education
82748,History
82754,Books
82754,History
82757,Data Source
82757,Law
82757,Political Science
82761,Books
82761,Philosophy
82762,Film
82762,Television
82762,The Arts
82765,Economics
82765,Web/Tech
82767,Current Affairs
82767,History
82767,Political Science
82768,Data Source
82768,Economics
82770,Data Source
82770,Medicine
82770,Political Science
82775,Web/Tech
82780,Law
82780,Medicine
82781,Books
82781,Education
82781,Philosophy
82781,The Arts
82782,Economics
82782,Education
82783,Current Affairs
82784,Books
82784,Economics
82791,Economics
82791,Law
82791,Web/Tech
82794,Books
82794,Current Affairs
82794,Economics
82794,Education
82794,Film
82794,History
82794,Law
82794,Philosophy
82794,Political Science
82794,Religion
82794,Sports
82794,Television
82794,Travel
82795,Current Affairs
82795,Political Science
82796,Philosophy
82796,Political Science
82798,Law
82798,Medicine
82800,Current Affairs
82800,Political Science
82800,Science
82801,Current Affairs
82801,Data Source
82801,Economics
82802,Current Affairs
82805,Economics
82805,History
82805,Law
82807,Books
82807,Economics
82809,History
82810,Current Affairs
82812,Education
82814,Economics
82817,Economics
82817,Education
82819,Economics
82820,Law
82821,Economics
82821,Political Science
82824,Current Affairs
82824,Education
82824,Medicine
82825,Economics
82826,Economics
82826,Education
82827,Books
82827,Economics
82827,Education
82828,Economics
82828,Law
82830,Current Affairs
82830,Economics
82830,Political Science
82834,Law
82835,Books
82839,Religion
82840,Current Affairs
82840,Political Science
82842,Current Affairs
82842,Education
82842,History
82842,Political Science
82843,Economics
82843,Education
82845,Economics
82846,Current Affairs
82846,Medicine
82846,Political Science
82847,Current Affairs
82847,Food and Drink
82847,Political Science
82850,Books
82853,Data Source
82853,Economics
82853,History
82855,Religion
82855,Travel
82857,Current Affairs
82857,Economics
82862,History
82864,Music
82864,The Arts
82864,Web/Tech
82867,Economics
82867,Education
82870,Economics
82871,Philosophy
82871,The Arts
82875,History
82875,Political Science
82876,Music
82877,Education
82877,The Arts
82880,Economics
82880,Education
82880,Political Science
82885,Economics
82885,Law
82885,Web/Tech
82888,Economics
82889,Current Affairs
82889,Economics
82893,Political Science
82894,Current Affairs
82895,Education
82896,Education
82898,Books
82898,Philosophy
82899,Music
82901,Education
82902,Current Affairs
82907,Books
82907,Current Affairs
82907,Political Science
82908,Current Affairs
82908,Political Science
82908,Web/Tech
82910,Economics
82910,Education
82911,Economics
82911,Film
82911,Television
82911,Web/Tech
82912,Current Affairs
82913,Economics
82915,Education
82915,Philosophy
82915,The Arts
82917,Current Affairs
82917,Data Source
82917,Economics
82918,History
82918,Science
82923,Economics
82923,Education
82924,Books
82924,Current Affairs
82924,Economics
