id,category
8572,Economics
8641,Data Source
8641,Economics
9513,Books
9513,Philosophy
9513,Political Science
9910,Economics
9910,Education
9956,Current Affairs
9956,Travels
10028,Current Affairs
10028,Food and Drink
11445,Economics
11445,Education
11445,Medicine
11476,Books
11476,History
11476,The Arts
11560,Food and Drink
12408,Economics
12449,Economics
12484,History
12590,Economics
12745,History
12783,Current Affairs
13111,Philosophy
13126,Data Source
13166,Economics
13483,Current Affairs
13645,Political Science
13081,Data Source
13957,Web/Tech
13981,Books
14188,Economics
14595,Medicine
