path,id,time,title,author,comments
2007/09/avian-flu---upd,14595,2007-09-05T09:14:10Z,Avian Flu – update,Alex Tabarrok,8
2007/12/should-we-be--1,14188,2007-12-02T11:34:53Z,Should we be happy with the low U.S. dollar?,Tyler Cowen,23
2008/01/the-logic-of--1,13981,2008-01-19T09:18:30Z,"The Logic of Life, by Tim Harford",Tyler Cowen,7
2008/01/the-logic-of--2,13957,2008-01-23T07:42:00Z,The Logic of Life and Guest Blogger Bryan Caplan,Alex Tabarrok,3
2008/03/sentences-to--1,13645,2008-03-31T07:49:00Z,Sentences to ponder,Tyler Cowen,2
2008/05/fragments-of--1,13483,2008-05-07T15:55:39Z,Fragments of wisdom,Alex Tabarrok,6
2008/07/a-minor-cure--1,13081,2008-07-25T17:01:04Z,A minor cure for our envy,Tyler Cowen,6
2008/07/sentences-to--1,13166,2008-07-08T19:14:42Z,Sentences to ponder,Tyler Cowen,9
2008/07/sentences-to--2,13126,2008-07-16T13:22:00Z,I want you to ponder sentences about vengeance,Tyler Cowen,10
2008/07/sentences-to--3,13111,2008-07-19T06:49:00Z,Sentences to ponder,Tyler Cowen,13
2008/09/sentences-to--1,12783,2008-09-20T07:08:37Z,Sentences to ponder,Tyler Cowen,5
2008/09/sentences-to--2,12745,2008-09-26T14:37:00Z,Sentences to ponder,Tyler Cowen,5
2008/11/sentences-to--1,12484,2008-11-13T10:50:05Z,Sentences to ponder,Tyler Cowen,16
2008/11/sentences-to--2,12449,2008-11-20T22:53:07Z,Sentences to ponder,Tyler Cowen,13
2008/11/sentences-to--3,12408,2008-11-28T08:42:28Z,Sentences to ponder,Tyler Cowen,10
2008/10/sentences-to--1,12590,2008-10-23T05:29:00Z,Low nominal interest rates,Tyler Cowen,2
2009/05/a-conversation-with-the-ten-year-old----for-the-third-time-do-your-homework--i-hate-homework-why-should-i-do-it--you-nee,11445,2009-05-26T07:27:00Z,Gambling on the Future,Alex Tabarrok,34
2009/05/can-people-distinguish-p%C3%83%C2%A2t%C3%83%C2%A9-from-dog-food,11560,2009-05-01T11:02:43Z,Can people distinguish pâté from dog food?,Tyler Cowen,28
2009/05/the-new-gabriel-garc%C3%83%C2%ADa-m%C3%83%C2%A1rquez-biography,11476,2009-05-19T06:23:00Z,The new Gabriel GarcÃ­a Márquez biography,Tyler Cowen,3
2010/02/concepci%C3%83%C2%B3n-chile,9956,2010-02-27T15:27:56Z,"Concepción, Chile",Tyler Cowen,12
2010/02/ferran-adri%C3%83%C2%A0-confuses-us,10028,2010-02-15T13:15:33Z,Ferran AdriÃ  confuses us,Tyler Cowen,4
2010/03/i-was-astounded-to-learn-from-the-nytimes-that-bill-perkins-state-senator-from-harlem-opposes-charter-schools-------over-t,9910,2010-03-08T07:39:00Z,Perkins versus Promise Academy Charter School,Alex Tabarrok,19
2010/05/slavoj-%C3%85%C2%BEi%C3%85%C2%BEek-on-sarah-palin,9513,2010-05-15T08:08:22Z,Slavoj Žižek on Sarah Palin,Tyler Cowen,25
2010/10/-leaving-las-vegas-continued,8641,2010-10-21T14:30:00Z,"$$ Leaving Las Vegas, continued",Tyler Cowen,14
2010/11/-the-high-cost-of-free-parking-continued,8572,2010-11-03T10:31:42Z,"The High Cost of Free Parking, continued",Tyler Cowen,21
